gender,age_group,education,experience_level,hired
Male,20-25,Master,Mid,Yes
Female,40-50,Bachelor,Junior,No
Female,25-30,Master,Mid,Yes
Female,40-50,Master,Senior,Yes
Female,40-50,Bachelor,Senior,Yes
Female,20-25,Bachelor,Senior,Yes
Female,20-25,Bachelor,Junior,No
Male,25-30,Master,Senior,Yes
Male,20-25,Bachelor,Senior,Yes
Male,25-30,Bachelor,Junior,Yes
Female,40-50,Bachelor,Mid,Yes
Female,25-30,PhD,Senior,Yes
Female,25-30,Master,Mid,Yes
Male,30-40,Bachelor,Senior,Yes
Female,40-50,Bachelor,Junior,No
Male,40-50,PhD,Junior,Yes
Female,30-40,Bachelor,Junior,No
Male,30-40,Bachelor,Mid,Yes
Male,20-25,PhD,Junior,Yes
Male,30-40,PhD,Junior,Yes
Male,40-50,Master,Mid,Yes
Female,40-50,PhD,Mid,Yes
Female,30-40,Bachelor,Mid,Yes
Female,25-30,PhD,Mid,Yes
Male,25-30,PhD,Junior,Yes
Male,30-40,Bachelor,Mid,Yes
Female,40-50,Bachelor,Junior,Yes
Male,25-30,Bachelor,Mid,Yes
Male,20-25,Bachelor,Mid,Yes
Female,25-30,Master,Senior,Yes
Male,20-25,Master,Senior,Yes
Female,25-30,Master,Mid,No
Female,25-30,Bachelor,Junior,Yes
Male,25-30,Bachelor,Mid,Yes
Male,40-50,PhD,Junior,Yes
Male,30-40,Bachelor,Mid,Yes
Female,20-25,PhD,Mid,No
Female,25-30,PhD,Junior,Yes
Female,40-50,PhD,Junior,No
Female,40-50,Master,Mid,Yes
Female,20-25,Bachelor,Mid,Yes
Male,40-50,Bachelor,Senior,Yes
Male,40-50,Bachelor,Senior,Yes
Female,20-25,Master,Junior,No
Female,30-40,PhD,Senior,No
Male,20-25,PhD,Senior,Yes
Male,25-30,PhD,Mid,Yes
Male,40-50,Bachelor,Mid,Yes
Female,30-40,Bachelor,Senior,Yes
Female,20-25,PhD,Mid,No
Male,40-50,Bachelor,Junior,Yes
Male,25-30,Master,Junior,Yes
Female,25-30,Master,Mid,Yes
Male,20-25,Master,Junior,Yes
Female,20-25,Master,Mid,Yes
Female,25-30,Bachelor,Senior,No
Male,40-50,Master,Senior,Yes
Male,40-50,PhD,Mid,Yes
Female,30-40,Bachelor,Senior,Yes
Female,25-30,PhD,Junior,No
Male,25-30,PhD,Mid,Yes
Female,20-25,PhD,Senior,Yes
Female,40-50,Bachelor,Mid,No
Male,25-30,PhD,Mid,Yes
Female,25-30,Master,Mid,No
Male,25-30,Bachelor,Senior,Yes
Female,30-40,PhD,Senior,Yes
Male,20-25,Bachelor,Mid,Yes
Female,40-50,PhD,Mid,Yes
Female,40-50,Bachelor,Junior,Yes
Male,20-25,Bachelor,Senior,Yes
Male,20-25,Master,Mid,Yes
Female,25-30,PhD,Junior,Yes
Male,40-50,Master,Senior,Yes
Female,20-25,Bachelor,Junior,Yes
Male,25-30,Bachelor,Junior,Yes
Female,25-30,PhD,Mid,Yes
Male,25-30,PhD,Mid,Yes
Male,20-25,PhD,Mid,Yes
Male,30-40,Bachelor,Mid,Yes
Female,30-40,Bachelor,Junior,Yes
Male,20-25,Master,Mid,Yes
Female,40-50,Master,Mid,Yes
Female,40-50,Bachelor,Junior,No
Female,30-40,Master,Junior,No
Male,30-40,PhD,Mid,Yes
Female,25-30,Master,Junior,Yes
Male,20-25,Master,Mid,Yes
Male,20-25,PhD,Junior,Yes
Female,25-30,Master,Junior,No
Male,30-40,PhD,Mid,Yes
Male,40-50,Master,Mid,Yes
Female,20-25,Master,Junior,No
Female,40-50,PhD,Mid,No
Female,25-30,Master,Senior,Yes
Female,25-30,PhD,Junior,Yes
Female,40-50,PhD,Senior,Yes
Female,20-25,Bachelor,Junior,Yes
Male,20-25,Master,Senior,Yes
Female,40-50,Bachelor,Mid,No
Male,40-50,PhD,Junior,Yes
Male,20-25,Master,Mid,Yes
Male,25-30,Master,Junior,Yes
Male,25-30,Bachelor,Mid,Yes
Male,20-25,Master,Junior,Yes
Female,20-25,PhD,Mid,No
Male,40-50,PhD,Junior,Yes
Female,20-25,Master,Senior,Yes
Female,25-30,Master,Senior,No
Female,40-50,PhD,Junior,No
Male,30-40,Bachelor,Mid,Yes
Female,40-50,PhD,Senior,Yes
Female,30-40,Master,Senior,Yes
Male,40-50,Master,Mid,Yes
Male,30-40,PhD,Junior,Yes
